substrate_id,reagent,opt_Xmin,opt_Xmax,opt_X,opt_y
Bifonazole,nbs,4.7368421052631575,25.0,15,90.0
Bifonazole,palauchlor,7.333333333333333,19.444444444444443,10,95.0
Bifonazole,nis,2.0,25.0,15,97.54930332
Boscalid,nbs,3.2564102564102564,5.0,5,98.0
Boscalid,palauchlor,1.0,25.0,6,97.0
Boscalid,nis,3.358974358974359,5.0,5,100.0
Caffeine,palauchlor,0.0,0.2222222222222222,0,25.0
Camptothecin,nbs,0.8888888888888888,2.3157894736842106,1,86.0
Camptothecin,palauchlor,7.6410256410256405,25.0,15,76.0
Ciprofloxacin,nbs,14.795918367346939,25.0,25,73.0
Ciprofloxacin,palauchlor,1.8888888888888888,4.631578947368421,2,73.0
Colchicine,nbs,0.0,5.0,0,100.0
Colchicine,palauchlor,4.487179487179487,5.0,5,31.0
Colchicine,nis,0.0,5.0,0,96.0
Griseofulvin,nbs,7.040816326530612,25.0,10,90.0
Griseofulvin,palauchlor,9.692307692307692,25.0,25,64.0
Griseofulvin,nis,3.1578947368421053,25.0,15,52.0
Hydroquinine,nbs,0.0,23.282828282828284,1,97.0
Hydroquinine,palauchlor,20.252525252525253,25.0,25,84.0
Hydroquinine,nis,20.353535353535353,25.0,25,11.0
Hydroxychloroquine,nbs,0.0,5.0,5,100.0
Hydroxychloroquine,palauchlor,15.0,25.0,25,93.0
Hydroxychloroquine,nis,17.12121212121212,25.0,25,85.0
Ibuprofen,palauchlor,9.487179487179487,25.0,10,88.0
Ibuprofen,nis,8.666666666666666,25.0,15,91.0
Indomethacin,nbs,0.0,24.494949494949495,15,98.0
Indomethacin,nis,0.8888888888888888,6.717948717948718,1,92.0
Ketanserin,nbs,0.7777777777777777,1.2222222222222223,1,51.0
Ketanserin,palauchlor,3.5789473684210527,18.434343434343432,6,77.59937639
Ketanserin,nis,6.615384615384615,12.857142857142858,10,83.0
Lidocaine,nbs,2.0,3.052631578947368,2,64.0
Lidocaine,palauchlor,8.256410256410255,25.0,10,97.92508623
Lidocaine,nis,12.959183673469388,21.060606060606062,15,88.0
Mizolastine,nbs,5.2631578947368425,25.0,10,90.0
Mizolastine,palauchlor,1.7777777777777777,2.3157894736842106,2,79.0
Mizolastine,nis,0.7777777777777777,10.918367346938776,1,100.0
Nevirapine,nbs,0.7777777777777777,1.1111111111111112,1,28.0
Palbociclib,nbs,7.743589743589744,25.0,10,89.0
Palbociclib,palauchlor,3.894736842105263,8.051282051282051,4,81.0
Palbociclib,nis,9.794871794871796,25.0,25,18.0
Paracetamol,nbs,0.0,0.3333333333333333,0,77.0
Paracetamol,palauchlor,5.052631578947368,25.0,6,51.0
Paracetamol,nis,2.736842105263158,6.82051282051282,4,67.0
Quinine,nbs,1.8888888888888888,2.1052631578947367,2,65.0
Quinine,palauchlor,1.0,2.1052631578947367,2,97.0
Ribavirin,nis,2.736842105263158,4.444444444444445,4,93.49593496
Risperidone,nbs,0.0,0.1111111111111111,0,28.0
Risperidone,palauchlor,7.230769230769231,12.653061224489797,10,50.0
Risperidone,nis,22.97979797979798,25.0,25,21.0
Ritonavir,nbs,0.0,1.0,0,90.0
Ritonavir,palauchlor,0.8888888888888888,1.1111111111111112,1,61.0
Ritonavir,nis,1.0,2.2105263157894735,2,65.0
Salicin,nbs,0.0,0.1111111111111111,0,93.0
Salicin,palauchlor,1.0,6.102564102564102,2,78.0
Salicin,nis,0.0,0.1111111111111111,0,63.0
Yohimbine,nbs,4.2105263157894735,25.0,15,69.0
Yohimbine,nis,1.8888888888888888,4.842105263157895,2,83.0
